parent_category;name;link;description
"DROPS";"PARIS RECYCLED DENIM";"https://www.sklep-ik.pl/tag-produktu/dropsparisrecycleddenim/";"<strong><span style=""color: #993366;"">5,30 <del>5,90</del> zł</span></strong><br/>100% bawełna<br/>motek 50g = 75m"
"DROPS";"PARIS";"https://www.sklep-ik.pl/tag-produktu/drops-paris/";"<strong><span style=""color: #993366;"">6,10 <del>6,80</del> zł</span></strong><br/>100% bawełna<br/>motek 50g = 75m"
"DROPS";"POLARIS";"https://www.sklep-ik.pl/tag-produktu/drops-polaris/";"<strong><span style=""color: #993366;"">od 19,70 <del>21,90</del> zł</span></strong><br/>100% wełna<br/>motek 100g = 36m"
"DROPS";"PUNA";"https://www.sklep-ik.pl/tag-produktu/drops-puna/";"<strong><span style=""color: #993366;"">15,00 <del>16,70</del> zł</span></strong><br/>100% alpaka<br/>motek 50g = 110m"
"DROPS";"SAFRAN";"https://www.sklep-ik.pl/tag-produktu/drops-safran/";"<strong><span style=""color: #993366;"">6,60 <del>7,30</del> zł</span></strong><br/>100% bawełna<br/>motek 50g = 160m"
"DROPS";"SKY";"https://www.sklep-ik.pl/tag-produktu/drops-sky/";"<strong><span style=""color: #993366;"">22,90 <del>25,40</del> zł</span></strong><br/>74% alpaka, 18% poliamid, 8% wełna<br/>motek 50g = 190m"
"DROPS";"SNOW";"https://www.sklep-ik.pl/tag-produktu/drops-snow/";"<strong><span style=""color: #993366;"">od 9,30 <del>10,30</del> zł</span></strong><br/>100% wełna<br/>motek 50g = 50m"
"DROPS";"SOFT TWEED";"https://www.sklep-ik.pl/tag-produktu/drops-soft-tweed/";"<strong><span style=""color: #993366;"">18,40 <del>20,40</del> zł</span></strong><br/>50% wełna, 25% alpaka, 25% wiskoza<br/>motek 50g = 130m"
"Włóczki";"FEZA";"https://www.sklep-ik.pl/feza-yarns/";""
"FEZA";"ALP DAZZLE";"https://www.sklep-ik.pl/tag-produktu/feza-alp-dazzle/";"<span style=""color: #993366;""><b>20% TANIEJ</b></span><br/>mieszanka włókien<br/>motek 100g = 190m"
"FEZA";"ALP NATURAL";"https://www.sklep-ik.pl/tag-produktu/feza-alp-natural/";"<span style=""color: #993366;""><b>20% TANIEJ</b></span><br/>40% bawełna, 30% wiskoza, 20% len, 10% jedwab<br/>motek 100g = 210m"
"FEZA";"ALP NATURAL CREATIVE";"https://www.sklep-ik.pl/tag-produktu/wloczka-feza-alp-natural-creative/";"<span style=""color: #993366;""><b>30% TANIEJ</b></span><br/>40% bawełna, 30% wiskoza, 20% len, 10% jedwab<br/>motek 100g = 210m"
"FEZA";"ALP PREMIER";"https://www.sklep-ik.pl/tag-produktu/feza-alp-premier/";"<span style=""color: #993366;""><b>30% TANIEJ</b></span><br/>mieszanka włókien<br/>motek 100g = 190m"
"Włóczki";"GAZZAL";"https://www.sklep-ik.pl/gazzal/";""
"GAZZAL";"BABY COTTON";"https://www.sklep-ik.pl/tag-produktu/gazzal-baby-cotton/";"<strong><span style=""color: #993366;"">25% TANIEJ</span></strong><br/>60% bawełna, 40% akryl<br/>motek 50g = 165m"
